Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Sam Bennett (26346946),Sam Bennett,26346946,C/UTIL,5400,FLA@COL 01/10/2023 09:30PM ET,FLA,9.78
RW,Sam Reinhart (26347192),Sam Reinhart,26347192,W/UTIL,5400,FLA@COL 01/10/2023 09:30PM ET,FLA,9.23
D,Gustav Forsling (26347638),Gustav Forsling,26347638,D/UTIL,5400,FLA@COL 01/10/2023 09:30PM ET,FLA,10.40
RW,Jesper Bratt (26347194),Jesper Bratt,26347194,W/UTIL,5300,NJ@CAR 01/10/2023 07:00PM ET,NJ,11.41
C,Mathew Barzal (26346948),Mathew Barzal,26346948,C/UTIL,5300,DAL@NYI 01/10/2023 07:30PM ET,NYI,10.93
LW,Jamie Benn (26347196),Jamie Benn,26347196,W/UTIL,5300,DAL@NYI 01/10/2023 07:30PM ET,DAL,10.50
D,Noah Hanifin (26347640),Noah Hanifin,26347640,D/UTIL,5300,CGY@STL 01/10/2023 08:00PM ET,CGY,9.34
C,Logan Couture (26346950),Logan Couture,26346950,C/UTIL,5300,SJ@ARI 01/10/2023 09:00PM ET,SJ,10.60
D,Kris Letang (26347644),Kris Letang,26347644,D/UTIL,5200,VAN@PIT 01/10/2023 07:00PM ET,PIT,9.29
RW,Evan Rodrigues (26347198),Evan Rodrigues,26347198,W/UTIL,5200,FLA@COL 01/10/2023 09:30PM ET,COL,10.50
D,Devon Toews (26347642),Devon Toews,26347642,D/UTIL,5200,FLA@COL 01/10/2023 09:30PM ET,COL,8.93
RW,J.T. Miller (26347200),J.T. Miller,26347200,W/UTIL,5100,VAN@PIT 01/10/2023 07:00PM ET,VAN,10.68
D,Moritz Seider (26347648),Moritz Seider,26347648,D/UTIL,5100,WPG@DET 01/10/2023 07:00PM ET,DET,9.01
D,Torey Krug (26347646),Torey Krug,26347646,D/UTIL,5100,CGY@STL 01/10/2023 08:00PM ET,STL,8.84
D,Quinn Hughes (26347650),Quinn Hughes,26347650,D/UTIL,5000,VAN@PIT 01/10/2023 07:00PM ET,VAN,9.09
D,Jeff Petry (26347652),Jeff Petry,26347652,D/UTIL,5000,VAN@PIT 01/10/2023 07:00PM ET,PIT,8.45
RW,David Perron (26347202),David Perron,26347202,W/UTIL,5000,WPG@DET 01/10/2023 07:00PM ET,DET,9.96
C,Robert Thomas (26346952),Robert Thomas,26346952,C/UTIL,5000,CGY@STL 01/10/2023 08:00PM ET,STL,8.70
RW,Bryan Rust (26347204),Bryan Rust,26347204,W/UTIL,4900,VAN@PIT 01/10/2023 07:00PM ET,PIT,9.19
RW,Dominik Kubalik (26347206),Dominik Kubalik,26347206,W/UTIL,4900,WPG@DET 01/10/2023 07:00PM ET,DET,10.02
