entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3071787077","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-38243:Anthony Stolarz,87112-38243,G,Anthony,Anthony Stolarz,Stolarz,9.563636086203836,22,7000,LA@ANH,ANH,LA,DTD,Lower body,,,,G
"3071787078","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97102:Lukas Dostal,87112-97102,G,Lukas,Lukas Dostal,Dostal,14.800000190734863,8,7000,LA@ANH,ANH,LA,,,,,,G
"3071787080","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-15268:John Gibson,87112-15268,G,John,John Gibson,Gibson,14.72432399440456,37,7000,LA@ANH,ANH,LA,,,,,,G
"3071787081","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82912:Troy Terry,87112-82912,W,Troy,Troy Terry,Terry,12.829411525352329,51,7000,LA@ANH,ANH,LA,IR,Upper body,,,,W/UTIL
"3071787083","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8986:Jamie Benn,87112-8986,W,Jamie,Jamie Benn,Benn,12.992726828835227,55,6900,DAL@MIN,DAL,MIN,,,,,,W/UTIL
"3071787086","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97214:Noah Dobson,87112-97214,D,Noah,Noah Dobson,Dobson,12.977358260244694,53,6900,PIT@NYI,NYI,PIT,,,,,,D/UTIL
"3071787088","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-66759:Thomas Chabot,87112-66759,D,Thomas,Thomas Chabot,Chabot,12.833333333333334,48,6800,CHI@OTT,OTT,CHI,,,,,,D/UTIL
"3071787091","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-15269:Rickard Rakell,87112-15269,W,Rickard,Rickard Rakell,Rakell,12.777358720887381,53,6800,PIT@NYI,PIT,NYI,,,,,,W/UTIL
"3071787093","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-11301:Cam Talbot,87112-11301,G,Cam,Cam Talbot,Talbot,14.857142857142858,28,6700,CHI@OTT,OTT,CHI,IR,Lower body,,,,G
"3071787095","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-66685:Mathew Barzal,87112-66685,C,Mathew,Mathew Barzal,Barzal,13.083928789411273,56,6700,PIT@NYI,NYI,PIT,,,,,,C/UTIL
"3071787097","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-117110:Mads Sogaard,87112-117110,G,Mads,Mads Sogaard,Sogaard,14.800000190734863,2,6700,CHI@OTT,OTT,CHI,,,,,,G
"3071787098","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8615:Joe Pavelski,87112-8615,W,Joe,Joe Pavelski,Pavelski,13.498182262073863,55,6700,DAL@MIN,DAL,MIN,,,,,,W/UTIL
"3071787100","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97135:Kevin Mandolese,87112-97135,G,Kevin,Kevin Mandolese,Mandolese,20.399999618530273,2,6700,CHI@OTT,OTT,CHI,,,,,,G
"3071787102","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8262:Patrick Kane,87112-8262,W,Patrick,Patrick Kane,Kane,12.04800048828125,50,6600,CHI@OTT,CHI,OTT,,,,,,W/UTIL
"3071787104","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-41394:Seth Jones,87112-41394,D,Seth,Seth Jones,Jones,12.39302382358285,43,6600,CHI@OTT,CHI,OTT,,,,,,D/UTIL
"3071787106","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-180228:Daniel Mannella,87112-180228,G,Daniel,Daniel Mannella,Mannella,,,6500,LA@ANH,ANH,LA,,,,,,G
"3071787109","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-43033:Antoine Bibeau,87112-43033,G,Antoine,Antoine Bibeau,Bibeau,,,6500,CHI@OTT,OTT,CHI,,,,,,G
"3071787111","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-66586:C.J. Motte,87112-66586,G,C.J.,C.J. Motte,Motte,,,6500,DAL@MIN,MIN,DAL,,,,,,G
"3071787113","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-66599:Zane McIntyre,87112-66599,G,Zane,Zane McIntyre,McIntyre,,,6500,DAL@MIN,MIN,DAL,,,,,,G
"3071787115","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-161836:Tommy Nappier,87112-161836,G,Tommy,Tommy Nappier,Nappier,,,6500,PIT@NYI,PIT,NYI,,,,,,G
"3071787117","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-180274:Mitchell Weeks,87112-180274,G,Mitchell,Mitchell Weeks,Weeks,,,6500,CHI@OTT,CHI,OTT,,,,,,G
"3071787120","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-180285:Logan Flodell,87112-180285,G,Logan,Logan Flodell,Flodell,,,6500,CHI@OTT,OTT,CHI,,,,,,G
"3071787121","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-180303:Thomas Milic,87112-180303,G,Thomas,Thomas Milic,Milic,,,6500,DAL@MIN,MIN,DAL,,,,,,G
