entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3083603793","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-80991:Nico Hischier,88061-80991,C,Nico,Nico Hischier,Hischier,15.719696969696969,66,7400,TB@NJ,NJ,TB,,,,,,C/UTIL
"3083603794","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-59208:Kevin Fiala,88061-59208,W,Kevin,Kevin Fiala,Fiala,15.01060624556108,66,7400,CBJ@LA,LA,CBJ,DTD,Lower body,,,,W/UTIL
"3083603795","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-82001:Collin Delia,88061-82001,G,Collin,Collin Delia,Delia,10.986666870117187,15,7300,VAN@ARI,VAN,ARI,,,,,,G
"3083603796","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8595:Evgeni Malkin,88061-8595,C,Evgeni,Evgeni Malkin,Malkin,15.522388059701493,67,7300,PIT@NYR,PIT,NYR,,,,,,C/UTIL
"3083603797","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70251:Thatcher Demko,88061-70251,G,Thatcher,Thatcher Demko,Demko,13.272727272727273,22,7300,VAN@ARI,VAN,ARI,,,,,,G
"3083603798","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8986:Jamie Benn,88061-8986,W,Jamie,Jamie Benn,Benn,14.102941176470589,68,7300,DAL@EDM,DAL,EDM,,,,,,W/UTIL
"3083603799","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-103940:Adam Fox,88061-103940,D,Adam,Adam Fox,Fox,13.658208590834889,67,7300,PIT@NYR,NYR,PIT,,,,,,D/UTIL
"3083603801","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-149734:Karel Vejmelka,88061-149734,G,Karel,Karel Vejmelka,Vejmelka,16.15652200450068,46,7200,VAN@ARI,ARI,VAN,,,,,,G
"3083603802","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-39253:Filip Forsberg,88061-39253,W,Filip,Filip Forsberg,Forsberg,14.034000244140625,50,7200,CHI@NSH,NSH,CHI,IR,Upper body,,,,W/UTIL
"3083603803","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-101277:Quinn Hughes,88061-101277,D,Quinn,Quinn Hughes,Hughes,13.070968135710686,62,7200,VAN@ARI,VAN,ARI,,,,,,D/UTIL
"3083603804","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-66572:Connor Ingram,88061-66572,G,Connor,Connor Ingram,Ingram,14.962962962962964,27,7200,VAN@ARI,ARI,VAN,,,,,,G
"3083603805","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-62493:Artemi Panarin,88061-62493,W,Artemi,Artemi Panarin,Panarin,14.417910447761194,67,7200,PIT@NYR,NYR,PIT,,,,,,W/UTIL
"3083603806","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70901:Pierre-Luc Dubois,88061-70901,C,Pierre-Luc,Pierre-Luc Dubois,Dubois,14.327868852459016,61,7200,BOS@WPG,WPG,BOS,DTD,Upper body,,,,C/UTIL
"3083603807","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70900:Patrik Laine,88061-70900,W,Patrik,Patrik Laine,Laine,15.064705642999387,51,7200,CBJ@LA,CBJ,LA,,,,,,W/UTIL
"3083603808","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-84324:Kaapo Kahkonen,88061-84324,G,Kaapo,Kaapo Kahkonen,Kahkonen,9.381818366773201,33,7100,SEA@SJ,SJ,SEA,,,,,,G
"3083603809","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8763:Brad Marchand,88061-8763,W,Brad,Brad Marchand,Marchand,13.87796589479608,59,7100,BOS@WPG,BOS,WPG,,,,,,W/UTIL
"3083603810","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-9052:James Reimer,88061-9052,G,James,James Reimer,Reimer,12.594285365513393,35,7100,SEA@SJ,SJ,SEA,,,,,,G
"3083603812","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-9092:Evander Kane,88061-9092,W,Evander,Evander Kane,Kane,14.051851625795718,27,7100,DAL@EDM,EDM,DAL,,,,,,W/UTIL
"3083603814","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-42981:Josh Morrissey,88061-42981,D,Josh,Josh Morrissey,Morrissey,15.093939578894412,66,7100,BOS@WPG,WPG,BOS,DTD,Lower body,,,,D/UTIL
