entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"2945898879","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-87467:Chuba Hubbard,82292-87467,RB,Chuba,Chuba Hubbard,Hubbard,2.7166665395100913,6,6200,CAR@ATL,CAR,ATL,Q,Ankle,,,,RB/FLEX
"2945898880","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-63043:DJ Moore,82292-63043,WR,DJ,DJ Moore,Moore,8.057143075125557,7,6200,CAR@ATL,CAR,ATL,,,,,,WR/FLEX
"2945898881","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-44715:Cooper Rush,82292-44715,QB,Cooper,Cooper Rush,Rush,9.733333587646484,6,6200,CHI@DAL,DAL,CHI,,,,,,QB
"2945898882","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-28434:Trevor Siemian,82292-28434,QB,Trevor,Trevor Siemian,Siemian,15.526667277018229,6,6200,CHI@DAL,CHI,DAL,,,,,,QB
"2945898884","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-39716:Adam Thielen,82292-39716,WR,Adam,Adam Thielen,Thielen,9.483333587646484,6,6200,ARI@MIN,MIN,ARI,,,,,,WR/FLEX
"2945898886","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-14377:Tyrod Taylor,82292-14377,QB,Tyrod,Tyrod Taylor,Taylor,2.440000057220459,1,6100,NYG@SEA,NYG,SEA,,,,,,QB
"2945898887","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-39034:Kurt Benkert,82292-39034,QB,Kurt,Kurt Benkert,Benkert,-0.10000000149011612,1,6100,SF@LAR,SF,LAR,,,,,,QB
"2945898888","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-104576:Sam Howell,82292-104576,QB,Sam,Sam Howell,Howell,,,6100,WAS@IND,WAS,IND,,,,,,QB
"2945898889","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-69777:Darnell Mooney,82292-69777,WR,Darnell,Darnell Mooney,Mooney,5.628571646554129,7,6100,CHI@DAL,CHI,DAL,,,,,,WR/FLEX
"2945898890","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-45259:Logan Woodside,82292-45259,QB,Logan,Logan Woodside,Woodside,-0.15000000596046448,4,6100,TEN@HOU,TEN,HOU,,,,,,QB
"2945898891","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-11500:Colt McCoy,82292-11500,QB,Colt,Colt McCoy,McCoy,6.0428570338657925,7,6100,ARI@MIN,ARI,MIN,,,,,,QB
"2945898892","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-86278:Desmond Ridder,82292-86278,QB,Desmond,Desmond Ridder,Ridder,,,6100,CAR@ATL,ATL,CAR,,,,,,QB
"2945898893","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-90428:Tyler Allgeier,82292-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.333333333333333,6,6100,CAR@ATL,ATL,CAR,,,,,,RB/FLEX
"2945898894","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-61798:Gardner Minshew II,82292-61798,QB,Gardner,Gardner Minshew II,Minshew II,11.553333282470703,3,6100,PIT@PHI,PHI,PIT,,,,,,QB
"2945898896","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-91639:Jake Fromm,82292-91639,QB,Jake,Jake Fromm,Fromm,4.633333206176758,3,6100,WAS@IND,WAS,IND,,,,,,QB
"2945898897","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-22027:Nick Foles,82292-22027,QB,Nick,Nick Foles,Foles,16.799999237060547,1,6100,WAS@IND,IND,WAS,,,,,,QB
"2945898899","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-60947:Jarrett Stidham,82292-60947,QB,Jarrett,Jarrett Stidham,Stidham,,,6100,LV@NO,LV,NO,,,,,,QB
"2945898900","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-40482:Tim Boyle,82292-40482,QB,Tim,Tim Boyle,Boyle,7.585000038146973,4,6100,MIA@DET,DET,MIA,,,,,,QB
"2945898901","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-64051:Drew Lock,82292-64051,QB,Drew,Drew Lock,Lock,8.896666844685873,6,6100,NYG@SEA,SEA,NYG,,,,,,QB
"2945898903","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-6714:Joe Flacco,82292-6714,QB,Joe,Joe Flacco,Flacco,15.879999796549479,3,6100,NE@NYJ,NYJ,NE,,,,,,QB
