Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Jordan Eberle (26924175),Jordan Eberle,26924175,W/UTIL,4700,OTT@SEA 03/09/2023 10:00PM ET,SEA,8.66
C,Tomas Hertl (26923851),Tomas Hertl,26923851,C/UTIL,4700,SJ@STL 03/09/2023 08:00PM ET,SJ,9.82
C,Max Domi (26923855),Max Domi,26923855,C/UTIL,4600,DAL@BUF 03/09/2023 07:00PM ET,DAL,9.52
RW,Tyler Seguin (26924179),Tyler Seguin,26924179,W/UTIL,4600,DAL@BUF 03/09/2023 07:00PM ET,DAL,8.85
D,Samuel Girard (26924681),Samuel Girard,26924681,D/UTIL,4600,LA@COL 03/09/2023 09:00PM ET,COL,8.22
D,Sean Durzi (26924683),Sean Durzi,26924683,D/UTIL,4600,LA@COL 03/09/2023 09:00PM ET,LA,8.68
RW,Josh Anderson (26924177),Josh Anderson,26924177,W/UTIL,4600,NYR@MON 03/09/2023 07:00PM ET,MON,7.90
C,Evgeny Kuznetsov (26923853),Evgeny Kuznetsov,26923853,C/UTIL,4600,NJ@WAS 03/09/2023 07:00PM ET,WAS,8.84
D,Tyson Barrie (26924687),Tyson Barrie,26924687,D/UTIL,4500,NSH@ARI 03/09/2023 09:00PM ET,NSH,8.87
C,David Krejci (26923857),David Krejci,26923857,C/UTIL,4500,EDM@BOS 03/09/2023 07:30PM ET,BOS,8.65
C,Anthony Cirelli (26923859),Anthony Cirelli,26923859,C/UTIL,4500,VGK@TB 03/09/2023 07:00PM ET,TB,8.20
RW,Alex Killorn (26924181),Alex Killorn,26924181,W/UTIL,4500,VGK@TB 03/09/2023 07:00PM ET,TB,8.18
D,Trevor van Riemsdyk (26924685),Trevor van Riemsdyk,26924685,D/UTIL,4500,NJ@WAS 03/09/2023 07:00PM ET,WAS,7.63
RW,Seth Jarvis (26924183),Seth Jarvis,26924183,W/UTIL,4400,PHI@CAR 03/09/2023 07:00PM ET,CAR,7.87
D,David Savard (26924691),David Savard,26924691,D/UTIL,4400,NYR@MON 03/09/2023 07:00PM ET,MON,8.56
LW,Andre Burakovsky (26924185),Andre Burakovsky,26924185,W/UTIL,4400,OTT@SEA 03/09/2023 10:00PM ET,SEA,8.83
C,Robert Thomas (26923861),Robert Thomas,26923861,C/UTIL,4400,SJ@STL 03/09/2023 08:00PM ET,STL,8.29
D,Torey Krug (26924689),Torey Krug,26924689,D/UTIL,4400,SJ@STL 03/09/2023 08:00PM ET,STL,8.53
C,Tommy Novak (26923865),Tommy Novak,26923865,C/UTIL,4300,NSH@ARI 03/09/2023 09:00PM ET,NSH,8.22
LW,Teuvo Teravainen (26924189),Teuvo Teravainen,26924189,W/UTIL,4300,PHI@CAR 03/09/2023 07:00PM ET,CAR,8.35
LW,Mike Hoffman (26924187),Mike Hoffman,26924187,W/UTIL,4300,NYR@MON 03/09/2023 07:00PM ET,MON,7.72
D,Adam Larsson (26924695),Adam Larsson,26924695,D/UTIL,4300,OTT@SEA 03/09/2023 10:00PM ET,SEA,9.00
C,Brayden Schenn (26923863),Brayden Schenn,26923863,C/UTIL,4300,SJ@STL 03/09/2023 08:00PM ET,STL,7.92
D,Alec Martinez (26924693),Alec Martinez,26924693,D/UTIL,4300,VGK@TB 03/09/2023 07:00PM ET,VGK,8.35
RW,Gabriel Vilardi (26924193),Gabriel Vilardi,26924193,W/UTIL,4200,LA@COL 03/09/2023 09:00PM ET,LA,8.60
LW,Trevor Moore (26924195),Trevor Moore,26924195,W/UTIL,4200,LA@COL 03/09/2023 09:00PM ET,LA,8.31
D,Matt Roy (26924699),Matt Roy,26924699,D/UTIL,4200,LA@COL 03/09/2023 09:00PM ET,LA,8.25
C,Sean Monahan (26923867),Sean Monahan,26923867,C/UTIL,4200,NYR@MON 03/09/2023 07:00PM ET,MON,8.20
LW,Zach Parise (26924191),Zach Parise,26924191,W/UTIL,4200,NYI@PIT 03/09/2023 07:00PM ET,NYI,8.63
D,Colton Parayko (26924697),Colton Parayko,26924697,D/UTIL,4200,SJ@STL 03/09/2023 08:00PM ET,STL,7.91
C,Barrett Hayton (26923869),Barrett Hayton,26923869,C/UTIL,4100,NSH@ARI 03/09/2023 09:00PM ET,ARI,6.60
D,Brady Skjei (26924701),Brady Skjei,26924701,D/UTIL,4100,PHI@CAR 03/09/2023 07:00PM ET,CAR,7.75
D,K'Andre Miller (26924703),K'Andre Miller,26924703,D/UTIL,4100,NYR@MON 03/09/2023 07:00PM ET,NYR,7.12
LW,Jaden Schwartz (26924199),Jaden Schwartz,26924199,W/UTIL,4100,OTT@SEA 03/09/2023 10:00PM ET,SEA,8.20
RW,Tom Wilson (26924197),Tom Wilson,26924197,W/UTIL,4100,NJ@WAS 03/09/2023 07:00PM ET,WAS,8.69
D,Juuso Valimaki (26924705),Juuso Valimaki,26924705,D/UTIL,4000,NSH@ARI 03/09/2023 09:00PM ET,ARI,5.50
D,Evan Bouchard (26924707),Evan Bouchard,26924707,D/UTIL,4000,EDM@BOS 03/09/2023 07:30PM ET,EDM,6.63
LW,Alex Iafallo (26924201),Alex Iafallo,26924201,W/UTIL,4000,LA@COL 03/09/2023 09:00PM ET,LA,7.97
C,Mikael Granlund (26923871),Mikael Granlund,26923871,C/UTIL,4000,NYI@PIT 03/09/2023 07:00PM ET,PIT,6.57
RW,Oliver Bjorkstrand (26924203),Oliver Bjorkstrand,26924203,W/UTIL,4000,OTT@SEA 03/09/2023 10:00PM ET,SEA,8.30
LW,Pavel Zacha (26924205),Pavel Zacha,26924205,W/UTIL,3900,EDM@BOS 03/09/2023 07:30PM ET,BOS,7.21
RW,Victor Olofsson (26924207),Victor Olofsson,26924207,W/UTIL,3900,DAL@BUF 03/09/2023 07:00PM ET,BUF,7.73
D,Ivan Provorov (26924713),Ivan Provorov,26924713,D/UTIL,3900,PHI@CAR 03/09/2023 07:00PM ET,PHI,8.08
D,Joel Edmundson (26924709),Joel Edmundson,26924709,D/UTIL,3900,NYR@MON 03/09/2023 07:00PM ET,MON,7.99
D,Kaiden Guhle (26924711),Kaiden Guhle,26924711,D/UTIL,3900,NYR@MON 03/09/2023 07:00PM ET,MON,7.10
D,Ryan Lindgren (26924715),Ryan Lindgren,26924715,D/UTIL,3900,NYR@MON 03/09/2023 07:00PM ET,NYR,6.00
RW,Alexander Barabanov (26924209),Alexander Barabanov,26924209,W/UTIL,3900,SJ@STL 03/09/2023 08:00PM ET,SJ,7.73
