entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3036657683,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-142017,85900-148101,85900-66737,85900-82812,85900-113276,85900-62195,85900-161910,85900-8556,85900-11301,,85900-80286:Roope Hintz,85900-80286,C,Roope,Roope Hintz,Hintz,16.09499969,40,8100,DAL@NYR,DAL,NYR,DTD,Upper body,,,,C/UTIL
3036657684,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-151978,85900-70279,85900-107994,85900-43028,85900-103523,85900-70199,85900-59209,85900-70168,85900-15339,,85900-23072:Frederik Andersen,85900-23072,G,Frederik,Frederik Andersen,Andersen,12.79999966,9,8100,CAR@CBJ,CAR,CBJ,,,,,,G
3036657685,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-142017,85900-82006,85900-66737,85900-70483,85900-169056,85900-66606,85900-82850,85900-8294,85900-11301,,85900-40050:Antti Raanta,85900-40050,G,Antti,Antti Raanta,Raanta,13.91111077,18,8100,CAR@CBJ,CAR,CBJ,,,,,,G
3036657687,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-62275,85900-70279,85900-103624,85900-58907,85900-103445,85900-70199,85900-66737,85900-70905,85900-54065,,85900-8494:John Tavares,85900-8494,C,John,John Tavares,Tavares,16.20000058,42,8000,TOR@DET,TOR,DET,,,,,,C/UTIL
3036657689,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-70279,85900-82006,85900-173536,85900-21689,85900-103523,85900-42981,85900-70483,85900-74155,85900-11301,,85900-8732:Semyon Varlamov,85900-8732,G,Semyon,Semyon Varlamov,Varlamov,16.10000038,16,8000,MIN@NYI,NYI,MIN,,,,,,G
3036657690,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-41391,85900-146131,85900-15239,85900-62195,85900-70199,85900-58332,85900-43008,85900-104015,,85900-8763:Brad Marchand,85900-8763,W,Brad,Brad Marchand,Marchand,15.56666704,33,8000,SEA@BOS,BOS,SEA,,,,,,W/UTIL
3036657692,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-73946,85900-66737,85900-70483,85900-37881,85900-42924,85900-82004,85900-8275,85900-11301,,85900-97232:Ilya Sorokin,85900-97232,G,Ilya,Ilya Sorokin,Sorokin,17.86666593,33,8000,MIN@NYI,NYI,MIN,,,,,,G
3036657693,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41592,85900-70279,85900-39253,85900-66737,85900-113276,85900-70199,85900-82004,85900-97069,85900-9278,,85900-8292:Craig Anderson,85900-8292,G,Craig,Craig Anderson,Anderson,16.71111043,18,7900,WPG@BUF,BUF,WPG,,,,,,G
3036657694,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-70279,85900-59276,85900-66617,85900-37881,85900-43200,85900-66737,85900-8495,85900-66693,,85900-82045:Martin Necas,85900-82045,W,Martin,Martin Necas,Necas,15.35609697,41,7900,CAR@CBJ,CAR,CBJ,,,,,,W/UTIL
3036657695,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148186,85900-68644,85900-12728,85900-55375,85900-103523,85900-70199,85900-70483,85900-82045,85900-83235,,85900-42982:Eric Comrie,85900-42982,G,Eric,Eric Comrie,Comrie,10.21538485,13,7900,WPG@BUF,BUF,WPG,,,,,,G
